revenuedate,totalrevenue
2021-04-25 00:00:00.000000,12506.3242
2021-04-26 00:00:00.000000,12110.4961
2021-04-27 00:00:00.000000,11465.2241
2021-04-28 00:00:00.000000,9847.6199
2021-04-29 00:00:00.000000,16709.5888
2021-04-30 00:00:00.000000,10607.8482
2021-05-01 00:00:00.000000,11094.49
2021-05-02 00:00:00.000000,9571.8741
2021-05-03 00:00:00.000000,14743.5914
2021-05-04 00:00:00.000000,11116.2541
2021-05-05 00:00:00.000000,15623.844
2021-05-06 00:00:00.000000,13425.4526
2021-05-07 00:00:00.000000,13911.137
2021-05-08 00:00:00.000000,12437.3215
2021-05-09 00:00:00.000000,11272.9687
2021-05-10 00:00:00.000000,10720.510891
2021-05-11 00:00:00.000000,38317.789382
2021-05-12 00:00:00.000000,30318.052928
2021-05-13 00:00:00.000000,20778.815458
2021-05-14 00:00:00.000000,15621.208119
2021-05-15 00:00:00.000000,14516.263635
2021-05-16 00:00:00.000000,10708.597948
2021-05-17 00:00:00.000000,10180.000388
2021-05-18 00:00:00.000000,11476.791012
2021-05-19 00:00:00.000000,9551.054012
2021-05-20 00:00:00.000000,9619.545649
2021-05-21 00:00:00.000000,10903.211444
2021-05-22 00:00:00.000000,9153.35444300001
2021-05-23 00:00:00.000000,9341.376524
2021-05-24 00:00:00.000000,9860.544002
2021-05-25 00:00:00.000000,26218.769521
2021-05-26 00:00:00.000000,27073.653559
2021-05-27 00:00:00.000000,18491.568216
2021-05-28 00:00:00.000000,15736.536227
2021-05-29 00:00:00.000000,11904.866836
2021-05-30 00:00:00.000000,9621.903786
2021-05-31 00:00:00.000000,8432.990686
2021-06-01 00:00:00.000000,11483.434779
2021-06-02 00:00:00.000000,11259.78757
2021-06-03 00:00:00.000000,11513.78845399999
2021-06-04 00:00:00.000000,12962.760597
2021-06-05 00:00:00.000000,11433.363536
2021-06-06 00:00:00.000000,8158.104994
2021-06-07 00:00:00.000000,10933.7372
2021-06-08 00:00:00.000000,13864.6197
2021-06-09 00:00:00.000000,26719.3262
2021-06-10 00:00:00.000000,29295.0559
2021-06-11 00:00:00.000000,26181.1883
2021-06-12 00:00:00.000000,15240.5187
2021-06-13 00:00:00.000000,10570.3318
2021-06-14 00:00:00.000000,10869.68993
2021-06-15 00:00:00.000000,10647.2754
2021-06-16 00:00:00.000000,11036.8478
2021-06-17 00:00:00.000000,9534.6336
2021-06-18 00:00:00.000000,10050.653
2021-06-19 00:00:00.000000,7752.5736
2021-06-20 00:00:00.000000,6565.7854
2021-06-21 00:00:00.000000,24723.240081
2021-06-22 00:00:00.000000,26533.0911
2021-06-23 00:00:00.000000,22501.6467
2021-06-24 00:00:00.000000,12575.6756
2021-06-25 00:00:00.000000,11913.6524
2021-06-26 00:00:00.000000,9826.8076
2021-06-27 00:00:00.000000,7325.9532
2021-06-28 00:00:00.000000,1517.2872
2021-06-29 00:00:00.000000,1918.488
2021-06-30 00:00:00.000000,1995.5221
2021-07-01 00:00:00.000000,1916.5718
2021-07-02 00:00:00.000000,2654.795
2021-07-03 00:00:00.000000,1768.4524
2021-07-04 00:00:00.000000,1972.1702
2021-07-05 00:00:00.000000,3805.6876
2021-07-06 00:00:00.000000,11076.6656
2021-07-07 00:00:00.000000,7105.5413
2021-07-08 00:00:00.000000,5653.6623
2021-07-09 00:00:00.000000,4090.7867
2021-07-10 00:00:00.000000,3119.0731
2021-07-11 00:00:00.000000,2847.1729
2021-07-12 00:00:00.000000,2068.638
2021-07-13 00:00:00.000000,1943.8419
2021-07-14 00:00:00.000000,1550.549
2021-07-15 00:00:00.000000,7866.0584
2021-07-16 00:00:00.000000,11691.0594
2021-07-17 00:00:00.000000,7740.9115
2021-07-18 00:00:00.000000,6582.3717
2021-07-19 00:00:00.000000,7231.1099
2021-07-20 00:00:00.000000,6774.0001
2021-07-21 00:00:00.000000,6011.0252
2021-07-22 00:00:00.000000,7626.5997
2021-07-23 00:00:00.000000,27270.6623
2021-07-24 00:00:00.000000,19610.8121
2021-07-25 00:00:00.000000,14763.7827
2021-07-26 00:00:00.000000,13420.6876
2021-07-27 00:00:00.000000,13350.3953
2021-07-28 00:00:00.000000,9117.1995
2021-07-29 00:00:00.000000,12941.6465
2021-07-30 00:00:00.000000,9895.2472
